sample_id,scene_type,subscene_type,input_path,input_data,audio_info,language,metadata,scenario,subscenario,capability_chain,task_types,reference_annotation,reference_text,system_output,system_output_text,cer,cer_status,source_id,source_sha256,result_id
SYN-0001,短语音/录音转写,普通话口述,inputs/SYN-0001.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0001.json"",""source_id"":""synthetic://SYN-0001.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""普通话口述"",""fixture_variant"":""clean_mandarin"",""dialogue_turns"":""-""}","{""duration_ms"":1200,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C01"",""source_sha256"":""efea11e6f434e16f0c5babfb29202326f79e7263b33604dd17a6ae5794d502e9"",""fixture_variant"":""clean_mandarin""}",短语音/录音转写,普通话口述,C01,语音识别,"{""transcript"":""请把今天的会议纪要发给李明"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",请把今天的会议纪要发给李明,"{""transcript"":""请把今天的会议纪要发给李明"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0001""}",请把今天的会议纪要发给李明,0.000000,通过,synthetic://SYN-0001.wav,efea11e6f434e16f0c5babfb29202326f79e7263b33604dd17a6ae5794d502e9,SYN-0001
SYN-0002,短语音/录音转写,噪声/数字英文混合,inputs/SYN-0002.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0002.json"",""source_id"":""synthetic://SYN-0002.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""噪声/数字英文混合"",""fixture_variant"":""noise_mixed_alphanumeric"",""dialogue_turns"":""-""}","{""duration_ms"":1300,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""noise"",""mixed_alphanumeric""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C01"",""source_sha256"":""c0ad758fc4bd645178f76bfcd3425405ff3ccf7e579349f65c83e656e318676d"",""fixture_variant"":""noise_mixed_alphanumeric""}",短语音/录音转写,噪声/数字英文混合,C01,语音识别,"{""transcript"":""请把订单 A1007 的数量改成 3 份"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",请把订单 A1007 的数量改成 3 份,"{""transcript"":""请把订单 A1007 的数量改成 3 "",""translation"":""-"",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0002""}",请把订单 A1007 的数量改成 3 ,0.062500,通过,synthetic://SYN-0002.wav,c0ad758fc4bd645178f76bfcd3425405ff3ccf7e579349f65c83e656e318676d,SYN-0002
SYN-0003,会议/办公语音翻译,短句语翻,inputs/SYN-0003.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0003.json"",""source_id"":""synthetic://SYN-0003.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""短句语翻"",""fixture_variant"":""short_translation"",""dialogue_turns"":""-""}","{""duration_ms"":1400,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C02"",""source_sha256"":""966174aa57cdbabf56204c4380aacea1293966d35355b54f3116af560de97a07"",""fixture_variant"":""short_translation""}",会议/办公语音翻译,短句语翻,C02,语音识别|机器翻译,"{""transcript"":""请把文件发给王芳"",""translation"":""Please send the file to Wang Fang"",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",请把文件发给王芳,"{""transcript"":""请把文件发给"",""translation"":""Please send the file to Wang Fang"",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0003""}",请把文件发给,0.250000,失败,synthetic://SYN-0003.wav,966174aa57cdbabf56204c4380aacea1293966d35355b54f3116af560de97a07,SYN-0003
SYN-0004,会议/办公语音翻译,长句/上下文翻译,inputs/SYN-0004.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0004.json"",""source_id"":""synthetic://SYN-0004.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""长句/上下文翻译"",""fixture_variant"":""long_context_translation"",""dialogue_turns"":[{""轮次"":1,""角色"":""主持人"",""内容"":""上下文：项目评审安排""},{""轮次"":2,""角色"":""用户"",""内容"":""在今天下午的项目评审会上，请先介绍风险清单，再说明每项风险的负责人和预计解决时间。""}]}","{""duration_ms"":1500,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C02"",""source_sha256"":""d9313ac1a8664ab05018d3bb60e66389c9fa3bd9a8c0b6022d99ac1c0703ba23"",""fixture_variant"":""long_context_translation""}",会议/办公语音翻译,长句/上下文翻译,C02,语音识别|机器翻译,"{""transcript"":""在今天下午的项目评审会上，请先介绍风险清单，再说明每项风险的负责人和预计解决时间。"",""translation"":""At this afternoon's project review, first introduce the risk list, then explain the owner and expected resolution time for each risk."",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""项目评审安排"",""annotation_version"":""fixture-2.0""}",在今天下午的项目评审会上，请先介绍风险清单，再说明每项风险的负责人和预计解决时间。,"{""transcript"":""在今"",""translation"":""At this afternoon's project review, first introduce the risk list, then explain the owner and expected resolution time for each risk."",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0004""}",在今,0.947368,失败,synthetic://SYN-0004.wav,d9313ac1a8664ab05018d3bb60e66389c9fa3bd9a8c0b6022d99ac1c0703ba23,SYN-0004
SYN-0005,车载/语音助手交互,设备控制,inputs/SYN-0005.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0005.json"",""source_id"":""synthetic://SYN-0005.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""设备控制"",""fixture_variant"":""device_control"",""dialogue_turns"":""-""}","{""duration_ms"":1600,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C03"",""source_sha256"":""67a5f3223e4b00da34e8d9de5a5cc6d3401e4836dc052d0099f27207660df054"",""fixture_variant"":""device_control""}",车载/语音助手交互,设备控制,C03,语音识别|语义理解|对话生成,"{""transcript"":""把客厅空调打开"",""translation"":""-"",""intent"":""设备控制"",""slots"":{""设备"":""空调"",""位置"":""客厅""},""expected_action"":""turn_on"",""expected_reply"":""已打开客厅空调"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",把客厅空调打开,"{""transcript"":""把客厅空调打开"",""translation"":""-"",""intent"":""设备控制"",""slots"":{""设备"":""空调"",""位置"":""客厅""},""action"":""turn_on"",""reply"":""已打开客厅空调"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0005""}",把客厅空调打开,0.000000,通过,synthetic://SYN-0005.wav,67a5f3223e4b00da34e8d9de5a5cc6d3401e4836dc052d0099f27207660df054,SYN-0005
SYN-0006,车载/语音助手交互,信息查询/多轮任务,inputs/SYN-0006.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0006.json"",""source_id"":""synthetic://SYN-0006.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""信息查询/多轮任务"",""fixture_variant"":""multi_turn_query"",""dialogue_turns"":[{""轮次"":1,""角色"":""用户"",""内容"":""我想了解北京的安排。""},{""轮次"":2,""角色"":""系统"",""内容"":""好的，请问你想查询什么？""},{""轮次"":3,""角色"":""用户"",""内容"":""请查询明天北京的天气信息""}]}","{""duration_ms"":1700,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C03"",""source_sha256"":""fb06b460779b3bb68af95594f02a9d4d02a7974ef9649f14dbbcd5a6fd500827"",""fixture_variant"":""multi_turn_query""}",车载/语音助手交互,信息查询/多轮任务,C03,语音识别|语义理解|对话生成,"{""transcript"":""请查询明天北京的天气信息"",""translation"":""-"",""intent"":""信息查询"",""slots"":{""地点"":""北京"",""日期"":""明天""},""expected_action"":""query_weather"",""expected_reply"":""北京明天晴转多云，最高温度26度"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",请查询明天北京的天气信息,"{""transcript"":""请查询明天北京的天气信"",""translation"":""-"",""intent"":""信息查询"",""slots"":{""地点"":""北京"",""日期"":""明天""},""action"":""query_weather"",""reply"":""北京明天晴转多云，最高温度26度"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0006""}",请查询明天北京的天气信,0.083333,通过,synthetic://SYN-0006.wav,fb06b460779b3bb68af95594f02a9d4d02a7974ef9649f14dbbcd5a6fd500827,SYN-0006
SYN-0007,短语音/录音转写,普通话口述,inputs/SYN-0007.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0007.json"",""source_id"":""synthetic://SYN-0007.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""普通话口述"",""fixture_variant"":""clean_mandarin"",""dialogue_turns"":""-""}","{""duration_ms"":1800,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C01"",""source_sha256"":""ee9e5fcc9c5ff19d2810e8fba683f871b6cfd72b2d30a202948d8af0c45783a9"",""fixture_variant"":""clean_mandarin""}",短语音/录音转写,普通话口述,C01,语音识别,"{""transcript"":""下午三点提醒我参加项目评审"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",下午三点提醒我参加项目评审,"{""transcript"":""下午三点提醒我参加项目"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0007""}",下午三点提醒我参加项目,0.153846,需关注,synthetic://SYN-0007.wav,ee9e5fcc9c5ff19d2810e8fba683f871b6cfd72b2d30a202948d8af0c45783a9,SYN-0007
SYN-0008,短语音/录音转写,噪声/数字英文混合,inputs/SYN-0008.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0008.json"",""source_id"":""synthetic://SYN-0008.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""噪声/数字英文混合"",""fixture_variant"":""noise_mixed_alphanumeric"",""dialogue_turns"":""-""}","{""duration_ms"":1900,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""noise"",""mixed_alphanumeric""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C01"",""source_sha256"":""9c23942135e3a4f6e11be796760261f649235115b6b9c51abffa3a28bb66b36f"",""fixture_variant"":""noise_mixed_alphanumeric""}",短语音/录音转写,噪声/数字英文混合,C01,语音识别,"{""transcript"":""WiFi 名称是 Office-5G，请记录下来"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",WiFi 名称是 Office-5G，请记录下来,"{""transcript"":""Wi"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0008""}",Wi,0.900000,失败,synthetic://SYN-0008.wav,9c23942135e3a4f6e11be796760261f649235115b6b9c51abffa3a28bb66b36f,SYN-0008
SYN-0009,会议/办公语音翻译,短句语翻,inputs/SYN-0009.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0009.json"",""source_id"":""synthetic://SYN-0009.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""短句语翻"",""fixture_variant"":""short_translation"",""dialogue_turns"":""-""}","{""duration_ms"":2000,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C02"",""source_sha256"":""a3ce7270ececf0d1cf0b1d2dba2e1320ca08047b2f8cf82870d29c108a4fba88"",""fixture_variant"":""short_translation""}",会议/办公语音翻译,短句语翻,C02,语音识别|机器翻译,"{""transcript"":""会议改到周五上午"",""translation"":""Move the meeting to Friday morning"",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",会议改到周五上午,"{""transcript"":""会议改到周五上午"",""translation"":""Move the meeting to Friday morning"",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0009""}",会议改到周五上午,0.000000,通过,synthetic://SYN-0009.wav,a3ce7270ececf0d1cf0b1d2dba2e1320ca08047b2f8cf82870d29c108a4fba88,SYN-0009
SYN-0010,会议/办公语音翻译,长句/上下文翻译,inputs/SYN-0010.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0010.json"",""source_id"":""synthetic://SYN-0010.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""长句/上下文翻译"",""fixture_variant"":""long_context_translation"",""dialogue_turns"":[{""轮次"":1,""角色"":""主持人"",""内容"":""上下文：客户交付调整""},{""轮次"":2,""角色"":""用户"",""内容"":""由于客户把交付日期提前了一周，请把新的排期发给研发和测试，并在邮件中说明需要优先确认的接口。""}]}","{""duration_ms"":1200,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C02"",""source_sha256"":""fccbe5082c41ca6b4b4f539044dbbcc0d3c1bf301ee5e94f98b164f6fbe3c94a"",""fixture_variant"":""long_context_translation""}",会议/办公语音翻译,长句/上下文翻译,C02,语音识别|机器翻译,"{""transcript"":""由于客户把交付日期提前了一周，请把新的排期发给研发和测试，并在邮件中说明需要优先确认的接口。"",""translation"":""Because the customer moved the delivery date forward by one week, send the new schedule to development and testing and explain which interfaces need priority confirmation in the email."",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""客户交付调整"",""annotation_version"":""fixture-2.0""}",由于客户把交付日期提前了一周，请把新的排期发给研发和测试，并在邮件中说明需要优先确认的接口。,"{""transcript"":""由于客户把交付日期提前了一周，请把新的排期发给研发和测试，并在邮件中说明需要优先确认的接口"",""translation"":""Because the customer moved the delivery date forward by one week, send the new schedule to development and testing and explain which interfaces need priority confirmation in the email."",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0010""}",由于客户把交付日期提前了一周，请把新的排期发给研发和测试，并在邮件中说明需要优先确认的接口,0.000000,通过,synthetic://SYN-0010.wav,fccbe5082c41ca6b4b4f539044dbbcc0d3c1bf301ee5e94f98b164f6fbe3c94a,SYN-0010
